created_at,entry_id,field1,field2,field3,field4
2018-12-28 14:28:38 UTC,121,,50.893,,
2018-12-28 14:29:36 UTC,122,,,,1
2018-12-28 14:30:30 UTC,123,,,9.869776048167568,
2018-12-28 14:31:16 UTC,124,,,,1
2018-12-28 14:33:43 UTC,125,20.396,,,
2018-12-28 14:34:08 UTC,126,,50.903,,
2018-12-28 14:35:28 UTC,127,,,9.872715789160438,
2018-12-28 14:39:13 UTC,128,20.367,,,
2018-12-28 14:39:39 UTC,129,,50.878,,
2018-12-28 14:40:04 UTC,130,,,,1
2018-12-28 14:40:29 UTC,131,,,9.838633645746562,
2018-12-28 14:44:44 UTC,132,20.380,,,
2018-12-28 14:45:09 UTC,133,,50.892,,
2018-12-28 14:45:29 UTC,134,,,9.854732996819399,
2018-12-28 14:45:59 UTC,135,,50.819,,
2018-12-28 14:50:29 UTC,136,,,9.833259569356963,
2018-12-28 14:51:04 UTC,137,20.324,,,
2018-12-28 14:51:29 UTC,138,20.354,,,
2018-12-28 14:51:54 UTC,139,,50.828,,
2018-12-28 14:52:19 UTC,140,,50.896,,
2018-12-28 14:55:28 UTC,141,,,9.831941258192684,
2018-12-28 14:57:25 UTC,142,20.311,,,
2018-12-28 14:57:50 UTC,143,,50.816,,
2018-12-28 15:00:29 UTC,144,,,9.768781649427131,
2018-12-28 15:02:55 UTC,145,20.298,,,
2018-12-28 15:03:20 UTC,146,20.298,,,
2018-12-28 15:03:45 UTC,147,,50.709,,
2018-12-28 15:05:28 UTC,148,,,9.725293061068248,
2018-12-28 15:08:50 UTC,149,20.324,,,
2018-12-28 15:09:15 UTC,150,,50.802,,
2018-12-28 15:10:29 UTC,151,,,9.776643557506228,
2018-12-28 15:14:20 UTC,152,20.340,,,
2018-12-28 15:14:45 UTC,153,,50.756,,
2018-12-28 15:15:28 UTC,154,,,9.777844541362198,
2018-12-28 15:19:50 UTC,155,20.311,,,
2018-12-28 15:20:15 UTC,156,,50.742,,
2018-12-28 15:25:20 UTC,157,20.298,,,
2018-12-28 15:25:45 UTC,158,,50.719,,
2018-12-28 15:30:30 UTC,159,,,9.728240104149522,
2018-12-28 15:30:50 UTC,160,20.284,,,
2018-12-28 15:31:15 UTC,161,,50.715,,
2018-12-28 15:35:28 UTC,162,,,9.714160858837653,
2018-12-28 15:36:20 UTC,163,20.268,,,
2018-12-28 15:36:45 UTC,164,,50.681,,
2018-12-28 15:37:29 UTC,165,,,,1
2018-12-28 15:40:06 UTC,166,,,,1
2018-12-28 15:40:30 UTC,167,,,9.689396827445785,
2018-12-28 15:41:50 UTC,168,20.255,,,
2018-12-28 15:42:15 UTC,169,,50.678,,
2018-12-28 15:42:40 UTC,170,,50.677,,
2018-12-28 15:45:05 UTC,171,,,,1
2018-12-28 15:45:28 UTC,172,,,9.676239476036169,
2018-12-28 15:47:45 UTC,173,20.255,,,
2018-12-28 15:48:10 UTC,174,,50.654,,
2018-12-28 15:50:05 UTC,175,,,,1
2018-12-28 15:50:30 UTC,176,,,9.669457677299798,
2018-12-28 15:53:15 UTC,177,20.241,,,
2018-12-28 15:53:40 UTC,178,,50.686,,
2018-12-28 15:55:05 UTC,179,,,,1
2018-12-28 15:55:28 UTC,180,,,9.665992697129846,
2018-12-28 15:58:46 UTC,181,20.255,,,
2018-12-28 15:59:11 UTC,182,,50.617,,
2018-12-28 15:59:36 UTC,183,,50.642,,
2018-12-28 16:00:06 UTC,184,,,,1
2018-12-28 16:00:29 UTC,185,,,9.665918269294146,
2018-12-28 16:04:41 UTC,186,20.228,,,
2018-12-28 16:05:06 UTC,187,,50.559,,
2018-12-28 16:05:28 UTC,188,,,9.616546245337931,
2018-12-28 16:10:04 UTC,189,,,,1
2018-12-28 16:10:30 UTC,190,,,9.616546245337931,
2018-12-28 16:11:01 UTC,191,20.284,,,
2018-12-28 16:11:26 UTC,192,,50.787,,
2018-12-28 16:11:51 UTC,193,,50.825,,
2018-12-28 16:15:05 UTC,194,,,,1
